modele,date_loc,info
"['NissanMicra1.0TEKNA', '', '                              23 540 €  ']",,
"['HyundaiI201.0prix initial : 17 950', '', '                              16 840 €  ']",,
"['HyundaiI301.0prix initial : 22 950', '', '                              22 490 €  ']",,
"['FordEcosport1.0ST LINE', '', '                              23 990 €  ']",,
"['OpelCorsa1.2ELEGANCEprix initial : 24 560', '', '                              22 490 €  ']",,
"['SkodaKaroq1.0AMBITIONprix initial : 30 990', '', '                              28 900 €  ']",,
"['BmwSerie 5525LUXURY', '', '                              38 900 €  ']",,
"['NissanMicra1.0SPORT', '', '                              21 450 €  ']",,
"['NissanQashqai1.3N CONNECTA', '', '                              29 490 €  ']",,
"['NissanQashqai1.3N CONNECTA', '', '                              29 990 €  ']",,
"['SkodaScala1.0', '', '                              19 950 €  ']",,
"['SkodaScala1.0ACTIVE', '', '                              18 950 €  ']",,
"['HyundaiI301.0TRENDprix initial : 22 490', '', '                              21 950 €  ']",,
"['HyundaiI30 fastback1.5N LINE', '', '                              28 450 €  ']",,
"['Peugeot2081.2ALLUREprix initial : 25 250', '', '                              24 300 €  ']",,
"['VolvoV902.0R DESIGN', '', '                              52 890 €  ']",,
"['BmwSerie 5 touring530M SPORTprix initial : 39 900', '', '                              39 890 €  ']",,
"['BmwX53.0SPORTprix initial : 46 900', '', '                              41 890 €  ']",,
"['VolkswagenCrafter2.0prix initial : 16 999', '', '                              14 599 €  ']", 14.01.2023 ALLEMAGNEDétail,DIESEL235 698 Km2014MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['BmwSerie 5 touring530SPORTprix initial : 39 900', '', '                              39 890 €  ']",,
"['VolkswagenGolf sw2.0HIGHLINE4MOTIONprix initial : 12 999', '', '                              11 900 €  ']",,
"['VolkswagenGolf sw2.0HIGHLINE4MOTION', '', '                              12 999 €  ']",,
"['HyundaiKonaprix initial : 26 490', '', '                              24 590 €  ']",,
"['SkodaFabia1.2prix initial : 5 799', '', '                              4 999 €  ']",,
"['HyundaiI30N performance2.0prix initial : 43 950', '', '                              37 950 €  ']",,
"['HyundaiTucson1.6', '', '                              41 580 €  ']",,
"['HyundaiStaria2.2SIGNATUREprix initial : 51 460', '', '                              49 900 €  ']",,
"['AudiA4 allroad40 tdi2.0prix initial : 47 850', '', '                              46 850 €  ']",,
"['HyundaiI101.0prix initial : 17 260', '', '                              15 950 €  ']",,
"['BmwSerie 2230SPORT', '', '                              32 500 €  ']",,
"['HyundaiIx201.4SEprix initial : 14 990', '', '                              13 490 €  ']",,
"['NissanQashqaiE-power1.5N CONNECTAprix initial : 42 900', '', '                              38 850 €  ']",,
"['AudiA6 avant40 tdi2.0SPORTprix initial : 49 950', '', '                              48 950 €  ']",,
"['ToyotaAygo1.0BUSINESSprix initial : 14 590', '', '                              13 900 €  ']",,
"['AudiA4 avantV6 3.0S LINEQUATTROprix initial : 35 950', '', '                              33 990 €  ']",,
"['AudiQ335 tfsi1.5prix initial : 41 450', '', '                              39 950 €  ']",,
"['HyundaiKonaN2.0prix initial : 41 510', '', '                              35 900 €  ']",,
"['AudiQ750 tdiV6 3.0S LINEprix initial : 79 950', '', '                              75 900 €  ']",,
"['HyundaiIoniq 5prix initial : 61 350', '', '                              47 520 €  ']",,
"['AudiA6 avant3.0prix initial : 22 299', '', '                              18 500 €  ']",,
"['AudiA63.0prix initial : 22 299', '', '                              18 500 €  ']",,
"['AudiQ3 sportback35 tfsi1.5', '', '                              46 790 €  ']",,
"['VolkswagenCrafter2.0prix initial : 16 499', '', '                              14 599 €  ']",,
"['NissanQashqaiE-power1.5N CONNECTA', '', '                              43 510 €  ']", 16.02.2023 ALLEMAGNEDétail,HYBRIDE10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['NissanX-trailE-power1.5N CONNECTA4X4prix initial : 48 390', '', '                              44 950 €  ']",,
"['SkodaKaroq1.0AMBITIONprix initial : 29 540', '', '                              28 900 €  ']",,
"['HyundaiI301.4CLASSICprix initial : 7 999', '', '                              7 499 €  ']",,
